Temperature - (Celsius), Year, Statistics, Country, ISO3
6.50072, 2011, Apr Average, United States, USA
12.2391, 2011, May Average, United States, USA
17.8593, 2011, Jun Average, United States, USA
21.0577, 2011, Jul Average, United States, USA
20.0842, 2011, Aug Average, United States, USA
15.4748, 2011, Sep Average, United States, USA
8.92776, 2011, Oct Average, United States, USA
0.27069, 2011, Nov Average, United States, USA
-2.6951, 2011, Dec Average, United States, USA
-5.4456, 2012, Jan Average, United States, USA
-1.4537, 2012, Feb Average, United States, USA
2.74126, 2012, Mar Average, United States, USA
8.06429, 2012, Apr Average, United States, USA
13.4465, 2012, May Average, United States, USA
18.3685, 2012, Jun Average, United States, USA
21.3749, 2012, Jul Average, United States, USA
19.7726, 2012, Aug Average, United States, USA
15.2347, 2012, Sep Average, United States, USA
7.8834, 2012, Oct Average, United States, USA
1.76716, 2012, Nov Average, United States, USA
-3.6671, 2012, Dec Average, United States, USA
-4.1921, 2013, Jan Average, United States, USA
-3.3945, 2013, Feb Average, United States, USA
-0.2622, 2013, Mar Average, United States, USA
4.5695, 2013, Apr Average, United States, USA
12.2388, 2013, May Average, United States, USA
18.6535, 2013, Jun Average, United States, USA
20.694, 2013, Jul Average, United States, USA
19.7371, 2013, Aug Average, United States, USA
15.6988, 2013, Sep Average, United States, USA
8.83887, 2013, Oct Average, United States, USA
0.49859, 2013, Nov Average, United States, USA
-5.1271, 2013, Dec Average, United States, USA
-3.6393, 2014, Jan Average, United States, USA
-4.6473, 2014, Feb Average, United States, USA
0.21163, 2014, Mar Average, United States, USA
6.95186, 2014, Apr Average, United States, USA
13.3534, 2014, May Average, United States, USA
17.5618, 2014, Jun Average, United States, USA
19.9679, 2014, Jul Average, United States, USA
19.5471, 2014, Aug Average, United States, USA
15.5989, 2014, Sep Average, United States, USA
9.18773, 2014, Oct Average, United States, USA
0.48912, 2014, Nov Average, United States, USA
-1.1944, 2014, Dec Average, United States, USA
-4.1873, 2015, Jan Average, United States, USA
-3.4854, 2015, Feb Average, United States, USA
2.29089, 2015, Mar Average, United States, USA
7.63324, 2015, Apr Average, United States, USA
13.5595, 2015, May Average, United States, USA
18.8966, 2015, Jun Average, United States, USA
20.544, 2015, Jul Average, United States, USA
19.3882, 2015, Aug Average, United States, USA
16.0393, 2015, Sep Average, United States, USA
10.1446, 2015, Oct Average, United States, USA
2.38001, 2015, Nov Average, United States, USA
-1.4286, 2015, Dec Average, United States, USA
-2.9203, 2016, Jan Average, United States, USA
0.00595, 2016, Feb Average, United States, USA
3.66085, 2016, Mar Average, United States, USA
8.36253, 2016, Apr Average, United States, USA
13.3068, 2016, May Average, United States, USA
19.0591, 2016, Jun Average, United States, USA
21.196, 2016, Jul Average, United States, USA
20.1812, 2016, Aug Average, United States, USA
16.015, 2016, Sep Average, United States, USA
10.1893, 2016, Oct Average, United States, USA
3.36611, 2016, Nov Average, United States, USA
-4.0525, 2016, Dec Average, United States, USA
